RS,RA,OBP,SLG,BA,Playoffs,RD,W
691,730,0.327,0.405,0.261,0,-39,75
818,677,0.341,0.442,0.267,1,141,92
729,643,0.324,0.412,0.26,1,86,88
687,829,0.319,0.38,0.248,0,-142,63
772,745,0.334,0.439,0.266,0,27,82
777,701,0.336,0.43,0.261,0,76,88
798,795,0.334,0.451,0.268,0,3,83
735,850,0.324,0.419,0.262,0,-115,66
897,821,0.35,0.458,0.278,1,76,91
923,906,0.354,0.483,0.292,0,17,73
724,876,0.32,0.409,0.26,0,-152,66
742,744,0.326,0.423,0.264,0,-2,76
847,769,0.347,0.451,0.271,1,78,93
729,858,0.318,0.409,0.266,0,-129,65
758,744,0.323,0.425,0.255,0,14,86
740,806,0.319,0.426,0.251,0,-66,68
771,766,0.337,0.433,0.272,0,5,85
670,812,0.319,0.396,0.253,0,-142,68
642,713,0.323,0.387,0.249,0,-71,82
804,713,0.334,0.435,0.267,1,91,95
884,645,0.345,0.439,0.264,1,239,102
746,719,0.329,0.414,0.26,0,27,86
657,858,0.313,0.393,0.247,0,-201,62
789,812,0.336,0.399,0.252,0,-23,79
927,627,0.36,0.445,0.288,1,300,116
799,748,0.342,0.46,0.266,0,51,90
814,684,0.339,0.441,0.27,1,130,93
672,887,0.32,0.388,0.258,0,-215,62
890,968,0.344,0.471,0.275,0,-78,73
767,753,0.325,0.43,0.263,0,14,80
864,869,0.352,0.472,0.28,0,-5,82
792,754,0.333,0.429,0.265,0,38,85
810,714,0.346,0.429,0.271,1,96,95
794,913,0.341,0.435,0.272,0,-119,74
792,745,0.341,0.423,0.267,0,47,85
764,904,0.335,0.411,0.256,0,-140,65
978,839,0.356,0.47,0.286,1,139,95
825,765,0.343,0.447,0.274,0,60,85
950,816,0.367,0.47,0.288,0,134,90
968,897,0.362,0.455,0.294,0,71,82
823,827,0.343,0.438,0.275,0,-4,79
731,797,0.331,0.409,0.262,0,-66,79
938,944,0.361,0.477,0.278,0,-6,72
879,930,0.348,0.425,0.288,0,-51,77
798,729,0.341,0.431,0.257,0,69,86
740,826,0.325,0.403,0.246,0,-86,73
748,880,0.337,0.407,0.27,0,-132,69
738,902,0.326,0.432,0.266,0,-164,67
807,738,0.346,0.43,0.263,1,69,94
871,814,0.354,0.45,0.277,1,57,87
947,813,0.36,0.458,0.27,1,134,91
708,830,0.329,0.4,0.251,0,-122,65
793,888,0.339,0.424,0.267,0,-95,69
752,815,0.33,0.402,0.254,0,-63,76
907,780,0.361,0.442,0.269,1,127,91
925,747,0.362,0.472,0.278,1,178,97
887,771,0.356,0.455,0.27,1,116,95
733,842,0.329,0.399,0.257,0,-109,69
848,974,0.352,0.446,0.283,0,-126,71
861,908,0.341,0.469,0.275,0,-47,83
711,826,0.322,0.395,0.256,0,-115,70
908,676,0.347,0.459,0.277,1,232,100
840,661,0.341,0.436,0.266,1,179,103
851,815,0.353,0.447,0.279,0,36,78
836,718,0.35,0.448,0.278,1,118,94
747,920,0.329,0.42,0.257,0,-173,67
777,870,0.337,0.429,0.277,0,-93,75
865,711,0.341,0.451,0.272,0,154,96
1009,860,0.373,0.467,0.289,1,149,97
906,1028,0.348,0.472,0.288,0,-122,72
747,882,0.326,0.443,0.261,0,-135,69
691,852,0.325,0.395,0.263,0,-161,64
823,675,0.355,0.42,0.267,1,148,97
856,921,0.348,0.433,0.282,0,-65,64
793,787,0.339,0.42,0.266,0,6,77
815,886,0.353,0.426,0.273,0,-71,74
686,845,0.328,0.384,0.264,0,-159,63
718,853,0.323,0.427,0.265,0,-135,68
853,711,0.363,0.434,0.279,1,142,97
900,731,0.366,0.453,0.282,1,169,98
893,846,0.355,0.446,0.259,0,47,87
841,846,0.351,0.431,0.275,0,-5,77
775,782,0.334,0.419,0.259,0,-7,78
710,781,0.332,0.393,0.252,0,-71,74
859,905,0.343,0.455,0.269,0,-46,79
872,831,0.356,0.434,0.271,0,41,86
